feature,importance
mmr,0.61687917
body,0.08966233
age_odo_interaction,0.08451407
make,0.058557313
model_grouped,0.030039841
year,0.02841324
odometer,0.027546829
condition,0.012359527
trim_grouped,0.012269409
transmission,0.009031999
log_odometer,0.0076111304
seller_grouped,0.0058386233
vehicle_age,0.005454271
interior,0.0039414437
state,0.0031574178
has_date,0.002618384
color,0.002105004
